ASSET_CODE,LSWorkType,JOB_CODE,Monthvalues,YearValues,LogSheetDayCount,IOTDayCount,IOTRunHr,LOGSheetRunHr,IOTUtilization,LogUtilization,BU_Description,IC_Description,Deviation,IOTWOrkDone,LogSheetWorkDone,Asset_Description,ExpectedLogSheetHr,ExpectedIOTHrs,Capacity,AssetGrp,UtilizationHrs_Considered,UtilizationPerc_Considered,UtilizationStatus,ProductivityPercent,Expected_FuelQuantity
4036080H,W,LE23M755,March,2025,26.0,0.0,0.0,86,0.0,0.0,Renewables - International,Renewable,100.0,0.0,295.0,4036080H-SKID STEER LOADER,0.0,0.0,,4036-Truck Mounted Cranes,86.0,0.0,Acceptable,LFProductivityPercent,
40410EXH,W,LE191024,March,2025,26.0,26.0,672.0,31,0.0,0.0,Residential Spaces,Buildings & Factories,95.39,0.0,450.0,40410EXH-Tractor - 35 HP,0.0,0.0,,4041-Tractor - Agriculture,31.0,0.0,Acceptable,LFProductivityPercent,
40410KCH,W,LE170934,March,2025,26.0,26.0,175.81,166,0.0,0.0,Roads & Runways,Transportation Infrastructure IC,5.58,0.0,25.0,40410KCH-TRACTOR TROLLY,0.0,0.0,,4041-Tractor - Agriculture,175.81,0.0,Acceptable,LFProductivityPercent,
40410QAH,W,LE22M601,March,2025,26.0,0.0,0.0,149,0.0,0.0,Factories,Buildings & Factories,100.0,0.0,122.0,40410QAH-4041 - TRACTOR - 35 HP,0.0,0.0,,4041-Tractor - Agriculture,149.0,0.0,Acceptable,LFProductivityPercent,
40410RAH,W,LE131319,March,2025,26.0,0.0,0.0,254,0.0,0.0,Factory,Minerals & Metals,100.0,0.0,44.0,40410RAH-Tractor with Tipper,0.0,0.0,,4041-Tractor - Agriculture,254.0,0.0,Acceptable,LFProductivityPercent,
40410SXH,W,LE23M044,March,2025,26.0,26.0,113.23,76,0.0,0.0,Public Space,Buildings & Factories,32.88,0.0,71.0,40410SXH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,76.0,0.0,Acceptable,LFProductivityPercent,
40410TCH,W,LE200819,March,2025,26.0,0.0,0.0,145,0.0,0.0,Public Space,Buildings & Factories,100.0,0.0,156.0,40410TCH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,145.0,0.0,Acceptable,LFProductivityPercent,
40410TPH,W,LE20M001,March,2025,26.0,26.0,4.15,17,0.0,0.0,Metro BU,Transportation Infrastructure IC,75.59,0.0,80.0,40410TPH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,17.0,0.0,Acceptable,LFProductivityPercent,
400D0097,W,LE22M097,March,2025,26.0,26.0,0.0,191,0.0,0.0,Airports,Buildings & Factories,100.0,0.0,25.0,400D0097-T/MTD FUEL BOWSER - 900 L WITH SMART DISPENSER,0.0,0.0,,400D-Diesel / Water Tankers,191.0,0.0,Acceptable,LFProductivityPercent,
400D0100,W,LE190917,March,2025,26.0,26.0,49.7,240,0.0,0.0,Minerals & Metals,Minerals & Metals,79.29,0.0,8053.0,400D0100-FUEL DISPENSER  – 950 LTR - MA,0.0,0.0,,400D-Diesel / Water Tankers,240.0,0.0,Acceptable,LFProductivityPercent,
400D0151,W,LE21M278,March,2025,26.0,26.0,67.04,221,0.0,0.0,Rural Water Supply (South & East),Water & Effluent Treatment IC,69.67,0.0,21.0,400D0151-Diesel Bowser - 970 Ltrs,0.0,0.0,,400D-Diesel / Water Tankers,221.0,0.0,Acceptable,LFProductivityPercent,
400K0052,W,LE200352,March,2025,26.0,26.0,177.96,250,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,28.82,0.0,664.0,400K0052-Water Tanker - 6 KL,0.0,0.0,,400K-Diesel / Water Tankers - Truck Mtd,250.0,0.0,Acceptable,LFProductivityPercent,
400K0109,W,LE200376,March,2025,26.0,0.0,0.0,290,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,100.0,0.0,781.0,400K0109-Water Tanker - 6000 Ltrs,0.0,0.0,,400K-Diesel / Water Tankers - Truck Mtd,290.0,0.0,Acceptable,LFProductivityPercent,
48040053,W,LE141150,March,2025,0.0,26.0,0.03,0,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,0.0,48040053-CHASSIS UNIT –16 T -180 HP MAK,0.0,0.0,,4804-Rail Laying Eqpt,0.03,0.0,Acceptable,LFProductivityPercent,
26380390,W,LE170934,March,2025,26.0,0.0,0.0,190,0.0,0.0,Roads & Runways,Transportation Infrastructure IC,100.0,0.0,11.0,26380390-DEWATERING PUMP-DIESEL-83HP,0.0,0.0,,2638-Water Pumps,190.0,0.0,Acceptable,LFProductivityPercent,
48070017,W,LE160168,March,2025,26.0,26.0,0.0,89,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,230.0,48070017-RAILWAY UTILITY VEHICLE WITH CRANE ,0.0,0.0,,4807-Rail Laying Eqpt,89.0,0.0,Acceptable,LFProductivityPercent,
480a0030,W,LE160489,March,2025,0.0,26.0,76.73,0,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,0.0,480a0030-RAIL CUM ROAD (RRV) - CRANE - ,0.0,0.0,,480a-Railway Utility Eqpt,76.73,0.0,Acceptable,LFProductivityPercent,
480B0036,W,LE180424,March,2025,26.0,26.0,0.0,46,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,13.0,480B0036-RAILWAY UTILITY VEHICLE (SD),0.0,0.0,,480B-Rail Laying Eqpt,46.0,0.0,Acceptable,LFProductivityPercent,
480c0015,W,LE20D068,March,2025,0.0,26.0,0.0,0,0.0,0.0,Railway Common,Transportation Infrastructure IC,0.0,0.0,0.0,480c0015-RAIL CUM ROAD TRANSIT MIXER - ,0.0,208.0,6 - 7 Cum,480c-Transit Mixers,0.0,0.0,Acceptable,LFProductivityPercent,0.0
41460RDH,W,LE22M448,March,2025,26.0,26.0,89.71,80,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,10.82,0.0,21.0,41460RDH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,89.71,0.0,Acceptable,LFProductivityPercent,
41460RUH,W,LE200376,March,2025,26.0,0.0,0.0,252,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,100.0,0.0,56.0,41460RUH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,252.0,0.0,Acceptable,LFProductivityPercent,
41460RWH,W,LE23M756,March,2025,26.0,26.0,43.45,208,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,79.11,0.0,170.0,41460RWH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,208.0,0.0,Acceptable,LFProductivityPercent,
41460SEH,W,LE23M851,March,2025,26.0,26.0,313.77,366,0.0,0.0,Airports,Buildings & Factories,14.27,0.0,818.0,41460SEH- Pickup Van - 1 T - Pickup Van =<  3 T,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,313.77,0.0,Acceptable,LFProductivityPercent,
41460SNH,W,LE20M065,March,2025,26.0,26.0,258.16,500,0.0,0.0,DFCC BU,Transportation Infrastructure IC,48.37,0.0,149.0,41460SNH-Camper,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,500.0,0.0,Acceptable,LFProductivityPercent,
41460STH,W,LE22MA49,March,2025,26.0,26.0,155.19,624,0.0,0.0,Metro BU,Transportation Infrastructure IC,75.13,0.0,3912.0,41460STH- Pickup Van - 1 T - Pickup Van =<  3 T,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,624.0,0.0,Acceptable,LFProductivityPercent,
41460SWH,W,LE22M337,March,2025,26.0,26.0,159.84,344,0.0,0.0,Roads & Runways,Transportation Infrastructure IC,53.53,0.0,25.0,41460SWH-Camper- 1.5T,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,344.0,0.0,Acceptable,LFProductivityPercent,
41460SYH,W,LE200357,March,2025,26.0,0.0,0.0,250,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,100.0,0.0,81.0,41460SYH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,250.0,0.0,Acceptable,LFProductivityPercent,
41460TLH,W,LE20M065,March,2025,26.0,26.0,170.69,500,0.0,0.0,DFCC BU,Transportation Infrastructure IC,65.86,0.0,25.0,41460TLH-Camper,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,500.0,0.0,Acceptable,LFProductivityPercent,
41460TTH,W,LE200452,March,2025,26.0,0.0,0.0,180,0.0,0.0,Waste water Business Segment,Water & Effluent Treatment IC,100.0,0.0,90.0,41460TTH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,180.0,0.0,Acceptable,LFProductivityPercent,
480c0066,W,LE141150,March,2025,0.0,26.0,0.0,0,0.0,0.0,Mainline BU,Transportation Infrastructure IC,0.0,0.0,0.0,480c0066-RAIL CUM ROAD TRANSIT MIXER  (RRV TM),0.0,208.0,6 - 7 Cum,480c-Transit Mixers,0.0,0.0,Acceptable,LFProductivityPercent,0.0
480c0074,W,LE20M001,March,2025,0.0,26.0,8.98,0,4.32,0.0,Metro BU,Transportation Infrastructure IC,100.0,0.0,0.0,480c0074-RAIL CUM ROAD TRANSIT MIXER,0.0,208.0,6 - 7 Cum,480c-Transit Mixers,8.98,4.32,UnderUtilized,LFProductivityPercent,13.47
480C0082,W,LE20M001,March,2025,0.0,26.0,0.0,0,0.0,0.0,Metro BU,Transportation Infrastructure IC,0.0,0.0,0.0,480C0082-RAIL CUM ROAD TRANSIT MIXER - 7.5 CUM - MAKE: KYB CONMAT; MR-70XL,0.0,208.0,6 - 7 Cum,480C-Transit Mixers,0.0,0.0,Acceptable,LFProductivityPercent,0.0
480D0010,W,LE22M354,March,2025,0.0,26.0,0.0,0,0.0,0.0,Mainline BU,Transportation Infrastructure IC,0.0,0.0,0.0,480D0010-Rail cum Road (RRV) Truck - 35 T,0.0,0.0,,480D-Railway Utility Eqpt,0.0,0.0,Acceptable,LFProductivityPercent,
2638424H,W,LE22M508,March,2025,26.0,26.0,84.8,279,0.0,0.0,Rural Water Supply (Central & West),Water & Effluent Treatment IC,69.61,0.0,6970.0,2638424H-DEWATERING PUMP,0.0,0.0,,2638-Water Pumps,279.0,0.0,Acceptable,LFProductivityPercent,
40410TVH,W,LE20M001,March,2025,26.0,26.0,77.32,74,0.0,0.0,Metro BU,Transportation Infrastructure IC,4.29,0.0,210.0,40410TVH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,77.32,0.0,Acceptable,LFProductivityPercent,
40410UFH,W,LE23M404,March,2025,26.0,0.0,0.0,197,0.0,0.0,Factories,Buildings & Factories,100.0,0.0,139560.0,40410UFH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,197.0,0.0,Acceptable,LFProductivityPercent,
40410VAH,W,LE22M303,March,2025,26.0,26.0,238.29,218,0.0,0.0,Roads & Runways,Transportation Infrastructure IC,8.51,0.0,430.0,40410VAH-Tractor Trolly,0.0,0.0,,4041-Tractor - Agriculture,238.29,0.0,Acceptable,LFProductivityPercent,
40410WFH,W,LE23M500,March,2025,26.0,26.0,136.33,134,0.0,0.0,Metro BU,Transportation Infrastructure IC,1.71,0.0,35.0,40410WFH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,136.33,0.0,Acceptable,LFProductivityPercent,
40410WQH,W,LE22M303,March,2025,26.0,26.0,265.07,239,0.0,0.0,Roads & Runways,Transportation Infrastructure IC,9.84,0.0,240.0,40410WQH-TRACTOR WITH TROLLEY,0.0,0.0,,4041-Tractor - Agriculture,265.07,0.0,Acceptable,LFProductivityPercent,
40410WZH,W,LE22M354,March,2025,26.0,0.0,0.0,264,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,98.0,40410WZH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,264.0,0.0,Acceptable,LFProductivityPercent,
400L0036,W,LE200352,March,2025,26.0,26.0,119.37,250,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,52.25,0.0,282.0,400L0036-Water Tanker - 4 KL,0.0,0.0,,400L-Diesel / Water Tankers - Truck Mtd,250.0,0.0,Acceptable,LFProductivityPercent,
400L0044,W,LE200352,March,2025,26.0,26.0,117.32,210,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,44.13,0.0,206.0,400L0044-Water Tanker - 4 KL,0.0,0.0,,400L-Diesel / Water Tankers - Truck Mtd,210.0,0.0,Acceptable,LFProductivityPercent,
400N0029,W,LE191117,March,2025,26.0,26.0,0.0,48,0.0,0.0,Hydel & Tunnel,Heavy Civil Infrastructure IC,100.0,0.0,7.0,400N0029-SCISSORS  LIFT - 2 T @ 8.5 MTR,0.0,0.0,,400N-Truck mounted -Scissor lift,48.0,0.0,Acceptable,LFProductivityPercent,
400S0042,W,LE21M073,March,2025,26.0,0.0,0.0,383,0.0,0.0,Hydel & Tunnel,Heavy Civil Infrastructure IC,100.0,0.0,0.0,400S0042-TUNNEL DUMPER -6.5 T,0.0,0.0,,400S-Low Profile Dumpers,383.0,0.0,Acceptable,LFProductivityPercent,
40100HUH,W,LE180255,March,2025,26.0,0.0,0.0,451,0.0,0.0,Heavy Structures,Heavy Civil Infrastructure IC,100.0,0.0,110.0,40100HUH-EICHER TRUCK,0.0,0.0,,4010-Trucks / Tippers,451.0,0.0,Acceptable,LFProductivityPercent,
41460TWH,W,LE23M851,March,2025,26.0,0.0,0.0,265,0.0,0.0,Airports,Buildings & Factories,100.0,0.0,365.0,41460TWH- Pickup Van - 1 T - Pickup Van =<  3 T,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,265.0,0.0,Acceptable,LFProductivityPercent,
41460UXH,W,LE200815,March,2025,26.0,26.0,115.26,253,0.0,0.0,Rural Water Supply (North),Water & Effluent Treatment IC,54.44,0.0,118.0,41460UXH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,253.0,0.0,Acceptable,LFProductivityPercent,
41460UYH,W,LE22M631,March,2025,26.0,26.0,146.53,492,0.0,0.0,Metro BU,Transportation Infrastructure IC,70.22,0.0,2922.0,41460UYH- Pickup Van - 1 T - Pickup Van =<  3 T,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,492.0,0.0,Acceptable,LFProductivityPercent,
41460VEH,W,LE170612,March,2025,26.0,0.0,0.0,156,0.0,0.0,Urban Water & Water Management,Water & Effluent Treatment IC,100.0,0.0,104.0,41460VEH-PICKUP VAN,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,156.0,0.0,Acceptable,LFProductivityPercent,
41460VHH,W,LE20M065,March,2025,26.0,0.0,0.0,431,0.0,0.0,DFCC BU,Transportation Infrastructure IC,100.0,0.0,97.0,41460VHH-Camper,0.0,0.0,,4146-Ambulance / Explosive  / Pick ,431.0,0.0,Acceptable,LFProductivityPercent,
2638437H,W,LE200838,March,2025,26.0,0.0,0.0,57,0.0,0.0,Large Water Systems Business Unit (North & West),Water & Effluent Treatment IC,100.0,0.0,318.0,2638437H-Dewatering Pump,0.0,0.0,,2638-Water Pumps,57.0,0.0,Acceptable,LFProductivityPercent,
2638441H,W,LE23M357,March,2025,26.0,0.0,0.0,204,0.0,0.0,Rural Water Supply (South & East),Water & Effluent Treatment IC,100.0,0.0,48960.0,2638441H-DEWATERING PUMP,0.0,0.0,,2638-Water Pumps,204.0,0.0,Acceptable,LFProductivityPercent,
480G0025,W,LE22M354,March,2025,26.0,26.0,10.9,63,0.0,0.0,Mainline BU,Transportation Infrastructure IC,82.7,0.0,0.0,480G0025-Rail feeding Car - 200 Mtrs,0.0,0.0,,480G-Railway Utility Eqpt,63.0,0.0,Acceptable,LFProductivityPercent,
480M0065,W,LE22M354,March,2025,26.0,0.0,0.0,203,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,0.0,480M0065-Construction Motor Car - 300HP - 28 T,0.0,0.0,,480M-Railway Utility Eqpt,203.0,0.0,Acceptable,LFProductivityPercent,
48150010,W,LE160168,March,2025,26.0,26.0,60.4,95,23.23,36.54,Mainline BU,Transportation Infrastructure IC,36.42,0.0,77404.0,48150010-BALLAST REGULATING MACHINE (BR,260.0,260.0,,4815-Railway Equipment,95.0,36.54,UnderUtilized,FSFProductivityPercent,2764.29
48230014,W,LE160168,March,2025,26.0,26.0,19.24,52,9.25,25.0,Mainline BU,Transportation Infrastructure IC,63.0,0.0,2881.0,48230014-UNIVERSAL TAMPING MACHINE - MA,208.0,208.0,600 - 700 sleepers/Hr,4823-Railway Equipment,52.0,25.0,UnderUtilized,LFProductivityPercent,936.0
30660010P,W,TZ000015,March,2025,0.0,26.0,0.0,0,0.0,0.0,Transmission Lines,Power Transmission & Distribution - Domestic,0.0,0.0,0.0,30660010P-Punching & Cropping Machine,0.0,0.0,,3066-Punching & Cropping Machine,0.0,0.0,Acceptable,LFProductivityPercent,
48650021,W,LE20D068,March,2025,0.0,26.0,0.0,0,0.0,0.0,Railway Common,Transportation Infrastructure IC,0.0,0.0,0.0,48650021-RAIL STRINGING EQPT.- 40 KN - ,0.0,208.0,,4865-Railway Electrification Eqpt,0.0,0.0,Acceptable,LFProductivityPercent,0.0
32010044,W,LE180399,March,2025,0.0,26.0,0.0,0,0.0,0.0,BRIDGES BU,Transportation Infrastructure IC,0.0,0.0,0.0,32010044-WEIGH BRIDGE - 100 T ,0.0,0.0,,3201-Weigh Bridges,0.0,0.0,Acceptable,LFProductivityPercent,
32010087,W,LE24M355,March,2025,0.0,26.0,0.0,0,0.0,0.0,Metals BU,Minerals & Metals,0.0,0.0,0.0,32010087-WEIGH BRIDGE - 100 T ,0.0,0.0,,3201-Weigh Bridges,0.0,0.0,Acceptable,LFProductivityPercent,
32010125,W,LE20M182,March,2025,0.0,26.0,0.0,0,0.0,0.0,Health,Buildings & Factories,0.0,0.0,0.0,32010125-WEIGH BRIDGE - 100 T  - WITH D,0.0,0.0,,3201-Weigh Bridges,0.0,0.0,Acceptable,LFProductivityPercent,
32010133,W,LE23M120,March,2025,0.0,26.0,0.0,0,0.0,0.0,Factories,Buildings & Factories,0.0,0.0,0.0,32010133-WEIGH BRIDGE - 100 T  - WITH D,0.0,0.0,,3201-Weigh Bridges,0.0,0.0,Acceptable,LFProductivityPercent,
40410XBH,W,LE22M354,March,2025,26.0,26.0,216.2,168,0.0,0.0,Mainline BU,Transportation Infrastructure IC,22.29,0.0,94.0,40410XBH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,216.2,0.0,Acceptable,LFProductivityPercent,
40410XKH,W,LE200819,March,2025,26.0,0.0,0.0,159,0.0,0.0,Public Space,Buildings & Factories,100.0,0.0,177.0,40410XKH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,159.0,0.0,Acceptable,LFProductivityPercent,
40410XLH,W,LE22M354,March,2025,26.0,0.0,0.0,178,0.0,0.0,Mainline BU,Transportation Infrastructure IC,100.0,0.0,4151.0,40410XLH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,178.0,0.0,Acceptable,LFProductivityPercent,
40410XQH,W,LE21M710,March,2025,26.0,26.0,129.66,45,0.0,0.0,Residential Spaces,Buildings & Factories,65.29,0.0,248.0,40410XQH- Tractor - 35 HP - Tractor =< 60 HP,0.0,0.0,,4041-Tractor - Agriculture,45.0,0.0,Acceptable,LFProductivityPercent,
